accession,experiment,study,sample,title,attributes.assembly,attributes.dangling_references,attributes.ENA-SPOT-COUNT,attributes.ENA-BASE-COUNT,attributes.ENA-FIRST-PUBLIC,attributes.ENA-LAST-UPDATE,files.ftp,files.aws,files.gcp,files.ncbi,attributes.options,attributes.loader
SRR6835867,SRX3791786,SRP131661,SRS3044259,Illumina NovaSeq 6000 sequencing; GSM3040913: library 10X_P7_15; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,96287458,8665871220,2018-03-30,2018-03-30,"[{'accession': 'SRR6835867', 'filename': '10X_P7_15.bam', 'filetype': 'bam', 'filesize': 14742852909, 'filenumber': 1, 'md5': 'c505e5087dca33580a8f622d09ac5c05', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/SRA653/SRA653146/bam/10X_P7_15.bam'}, {'accession': 'SRR6835867', 'filename': '10X_P7_15.bam.bai', 'filetype': 'bam', 'filesize': 7945304, 'filenumber': 1, 'md5': '0c6591fb2bf04762ce846ceef38609aa', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR683/SRR6835867/10X_P7_15.bam.bai'}]","[{'accession': 'SRR6835867', 'filename': '10X_P7_15.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-src-1.s3.amazonaws.com/SRR6835867/10X_P7_15.bam.1'}, {'accession': 'SRR6835867', 'filename': 'SRR6835867', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6835867/SRR6835867'}]",[],[],,
SRR6835866,SRX3791785,SRP131661,SRS3044258,Illumina NovaSeq 6000 sequencing; GSM3040912: library 10X_P7_14; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,119078472,10717062480,2018-03-30,2018-03-30,"[{'accession': 'SRR6835866', 'filename': '10X_P7_14.bam', 'filetype': 'bam', 'filesize': 18456255557, 'filenumber': 1, 'md5': '6ee7da59fe5207caea5576d70a85d328', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/SRA653/SRA653146/bam/10X_P7_14.bam'}, {'accession': 'SRR6835866', 'filename': '10X_P7_14.bam.bai', 'filetype': 'bam', 'filesize': 8495696, 'filenumber': 1, 'md5': '9826186902b4a53425d31c765ea42481', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR683/SRR6835866/10X_P7_14.bam.bai'}]","[{'accession': 'SRR6835866', 'filename': '10X_P7_14.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-src-1.s3.amazonaws.com/SRR6835866/10X_P7_14.bam.1'}, {'accession': 'SRR6835866', 'filename': 'SRR6835866', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6835866/SRR6835866'}]",[],[],,
SRR6835862,SRX3791781,SRP131661,SRS3044254,Illumina NovaSeq 6000 sequencing; GSM3040908: library 10X_P7_10; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,124625863,11216327670,2018-03-30,2018-03-30,"[{'accession': 'SRR6835862', 'filename': '10X_P7_10.bam', 'filetype': 'bam', 'filesize': 18994309037, 'filenumber': 1, 'md5': '01ff712cc232f9be84fa8dcc2bbec4ab', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/SRA653/SRA653146/bam/10X_P7_10.bam'}, {'accession': 'SRR6835862', 'filename': '10X_P7_10.bam.bai', 'filetype': 'bam', 'filesize': 7832568, 'filenumber': 1, 'md5': '0b4787108a6013395abb03f312ee1cee', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR683/SRR6835862/10X_P7_10.bam.bai'}]","[{'accession': 'SRR6835862', 'filename': '10X_P7_10.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-src-1.s3.amazonaws.com/SRR6835862/10X_P7_10.bam.1'}, {'accession': 'SRR6835862', 'filename': 'SRR6835862', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6835862/SRR6835862'}]","[{'accession': 'SRR6835862', 'filename': 'SRR6835862.zq.1', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'gcp', 'url': 'gs://sra-pub-zq-5/SRR6835862/SRR6835862.zq.1'}]","[{'accession': 'SRR6835862', 'filename': 'SRR6835862.sralite.1', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/835/SRR6835862.sralite.1'}]",,
SRR6835845,SRX3791764,SRP131661,SRS3044237,Illumina NovaSeq 6000 sequencing; GSM3040891: library 10X_P4_1; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,144788344,13030950960,2018-03-30,2018-03-30,"[{'accession': 'SRR6835845', 'filename': '10X_P4_1.bam', 'filetype': 'bam', 'filesize': 19409817102, 'filenumber': 1, 'md5': 'cfd71e4643a1c6681428f8b6d2d72e6f', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/SRA653/SRA653146/bam/10X_P4_1.bam'}, {'accession': 'SRR6835845', 'filename': '10X_P4_1.bam.bai', 'filetype': 'bam', 'filesize': 7606608, 'filenumber': 1, 'md5': 'dca9b63a74753fe2ee426569b59727ce', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR683/SRR6835845/10X_P4_1.bam.bai'}]","[{'accession': 'SRR6835845', 'filename': '10X_P4_1.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-src-1.s3.amazonaws.com/SRR6835845/10X_P4_1.bam.1'}, {'accession': 'SRR6835845', 'filename': 'SRR6835845', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6835845/SRR6835845'}]","[{'accession': 'SRR6835845', 'filename': 'SRR6835845.zq.1', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'gcp', 'url': 'gs://sra-pub-zq-6/SRR6835845/SRR6835845.zq.1'}]","[{'accession': 'SRR6835845', 'filename': 'SRR6835845.sralite.1', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/835/SRR6835845.sralite.1'}]",,
SRR6835844,SRX3791763,SRP131661,SRS3044236,Illumina NovaSeq 6000 sequencing; GSM3040890: library 10X_P4_0; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,137766536,12398988240,2018-03-30,2018-03-30,"[{'accession': 'SRR6835844', 'filename': '10X_P4_0.bam', 'filetype': 'bam', 'filesize': 17093057664, 'filenumber': 1, 'md5': '5355fe6a07155026085ce46631268ab1', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/SRA653/SRA653146/bam/10X_P4_0.bam'}, {'accession': 'SRR6835844', 'filename': '10X_P4_0.bam.bai', 'filetype': 'bam', 'filesize': 7163216, 'filenumber': 1, 'md5': 'c9396c2596254831470a9138ae86ded7', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR683/SRR6835844/10X_P4_0.bam.bai'}]","[{'accession': 'SRR6835844', 'filename': '10X_P4_0.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-src-1.s3.amazonaws.com/SRR6835844/10X_P4_0.bam.1'}, {'accession': 'SRR6835844', 'filename': 'SRR6835844', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6835844/SRR6835844'}]","[{'accession': 'SRR6835844', 'filename': 'SRR6835844.zq.1', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'gcp', 'url': 'gs://sra-pub-zq-7/SRR6835844/SRR6835844.zq.1'}]","[{'accession': 'SRR6835844', 'filename': 'SRR6835844.sralite.1', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/835/SRR6835844.sralite.1'}]",,
SRR6664638,SRX3641499,SRP132021,SRS2907695,NextSeq 500 paired end sequencing; GSM2976782: Single cell RNA-seq tdTomato MPs 14 day post notexin injury; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,147360589,8546914162,2020-04-18,2020-04-18,"[{'accession': 'SRR6664638', 'filename': 'd14.bam', 'filetype': 'bam', 'filesize': 24331271233, 'filenumber': 1, 'md5': '9ad6ea0971bd8047f6987eb45aa17129', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664638/d14.bam'}, {'accession': 'SRR6664638', 'filename': 'd14.bam.bai', 'filetype': 'bam', 'filesize': 10463992, 'filenumber': 1, 'md5': 'a827133ed2981440adf4e9470d0dc1bb', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664638/d14.bam.bai'}]","[{'accession': 'SRR6664638', 'filename': 'd14.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 's3://sra-pub-src-15/SRR6664638/d14.bam.1'}, {'accession': 'SRR6664638', 'filename': 'SRR6664638', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6664638/SRR6664638'}]",[],"[{'accession': 'SRR6664638', 'filename': 'd14.bam', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRZ/006664/SRR6664638/d14.bam'}]",,
SRR6664637,SRX3641498,SRP132021,SRS2907694,NextSeq 500 paired end sequencing; GSM2976781: Single cell RNA-seq tdTomato MPs 4 day post notexin injury; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,151113072,8764558176,2020-04-18,2020-04-18,"[{'accession': 'SRR6664637', 'filename': 'd4.bam', 'filetype': 'bam', 'filesize': 26533173367, 'filenumber': 1, 'md5': '403e72d5d70c7a51ca9bca53ac879aeb', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664637/d4.bam'}, {'accession': 'SRR6664637', 'filename': 'd4.bam.bai', 'filetype': 'bam', 'filesize': 9684752, 'filenumber': 1, 'md5': '2c9570555617873183c8f8e744e1cafa', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664637/d4.bam.bai'}]","[{'accession': 'SRR6664637', 'filename': 'd4.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 's3://sra-pub-src-15/SRR6664637/d4.bam.1'}, {'accession': 'SRR6664637', 'filename': 'SRR6664637', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6664637/SRR6664637'}]",[],"[{'accession': 'SRR6664637', 'filename': 'd4.bam', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRZ/006664/SRR6664637/d4.bam'}]",,
SRR6664636,SRX3641497,SRP132021,SRS2907693,NextSeq 500 paired end sequencing; GSM2976780: Single cell RNA-seq tdTomato MPs 2 day post notexin injury; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,138315687,8022309846,2020-04-18,2020-04-18,"[{'accession': 'SRR6664636', 'filename': 'd2.bam', 'filetype': 'bam', 'filesize': 26638184289, 'filenumber': 1, 'md5': 'd496e9e2dd14a03e2ceaf13a3b091d46', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664636/d2.bam'}, {'accession': 'SRR6664636', 'filename': 'd2.bam.bai', 'filetype': 'bam', 'filesize': 9377128, 'filenumber': 1, 'md5': '1c221860bcfb70a8fed4d7468613c4aa', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664636/d2.bam.bai'}]","[{'accession': 'SRR6664636', 'filename': 'd2.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 's3://sra-pub-src-15/SRR6664636/d2.bam.1'}, {'accession': 'SRR6664636', 'filename': 'SRR6664636', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6664636/SRR6664636'}]",[],"[{'accession': 'SRR6664636', 'filename': 'd2.bam', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRZ/006664/SRR6664636/d2.bam'}]",,
SRR6664635,SRX3641496,SRP132021,SRS2907692,NextSeq 500 paired end sequencing; GSM2976779: Single cell RNA-seq tdTomato MPs 1 day post notexin injury; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,149851612,8691393496,2020-04-18,2020-04-18,"[{'accession': 'SRR6664635', 'filename': 'd1.bam', 'filetype': 'bam', 'filesize': 28471125535, 'filenumber': 1, 'md5': '4bca5309a50fc871e8073969c6cd1293', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664635/d1.bam'}, {'accession': 'SRR6664635', 'filename': 'd1.bam.bai', 'filetype': 'bam', 'filesize': 9190840, 'filenumber': 1, 'md5': 'b968ff74bebb16ab94f4b02eb7eec736', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664635/d1.bam.bai'}]","[{'accession': 'SRR6664635', 'filename': 'd1.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 's3://sra-pub-src-15/SRR6664635/d1.bam.1'}, {'accession': 'SRR6664635', 'filename': 'SRR6664635', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6664635/SRR6664635'}]",[],"[{'accession': 'SRR6664635', 'filename': 'd1.bam', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRZ/006664/SRR6664635/d1.bam'}]",,
SRR6664634,SRX3641495,SRP132021,SRS2907691,NextSeq 500 paired end sequencing; GSM2976778: Single cell RNA-seq tdTomato MPs quiescent; Mus musculus; RNA-Seq,mm10,treat_as_unmapped,73457332,4260525256,2020-04-18,2020-04-18,"[{'accession': 'SRR6664634', 'filename': 'qsnt.bam', 'filetype': 'bam', 'filesize': 11568528992, 'filenumber': 1, 'md5': '40eb203330ab98e67f85a37dbbad5ec9', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664634/qsnt.bam'}, {'accession': 'SRR6664634', 'filename': 'qsnt.bam.bai', 'filetype': 'bam', 'filesize': 7576672, 'filenumber': 1, 'md5': 'bf78340a9435db16d896572d7a58c46a', 'urltype': 'ftp', 'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/run/SRR666/SRR6664634/qsnt.bam.bai'}]","[{'accession': 'SRR6664634', 'filename': 'qsnt.bam.1', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 's3://sra-pub-src-17/SRR6664634/qsnt.bam.1'}, {'accession': 'SRR6664634', 'filename': 'SRR6664634', 'filetype': 'sra', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'aws', 'url': 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6664634/SRR6664634'}]",[],"[{'accession': 'SRR6664634', 'filename': 'qsnt.bam', 'filetype': 'bam', 'filesize': None, 'filenumber': 1, 'md5': None, 'urltype': 'ncbi', 'url': 'https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRZ/006664/SRR6664634/qsnt.bam'}]",,
