accession,experiment.accession,experiment.title,experiment.platform,experiment.instrument,study.accession,study.title,study.abstract,sample.accession,sample.title,sample.organism,sample.attributes.source_name,sample.attributes.cell line,sample.attributes.ENA-FIRST-PUBLIC,sample.attributes.ENA-LAST-UPDATE,title,files,sample.attributes.cell type,sample.attributes.genotype,sample.attributes.age,sample.attributes.Sex,sample.attributes.tissue,sample.attributes.ENA-SPOT-COUNT,sample.attributes.ENA-BASE-COUNT,sample.attributes.protocol,sample.attributes.location,sample.attributes.strain
SRR12507504,SRX8998538,Illumina HiSeq 2500 paired end sequencing; GSM4743488: 1_iPS; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251319,1_iPS,Homo sapiens,induced pluripotent stem cell,"Human iPS cell line, 1231A3",2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743488: 1_iPS; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12507504/SRR12507504.fastq.gz', 'md5': 'e1d61b64bf8d605e943364d49faccb0f', 'size': '20300987846'}]",,,,,,,,,,
SRR12507505,SRX8998539,Illumina HiSeq 2500 paired end sequencing; GSM4743489: 2_PSM; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251320,2_PSM,Homo sapiens,presomitic mesoderm,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743489: 2_PSM; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/005/SRR12507505/SRR12507505.fastq.gz', 'md5': '9126059e7f85742c8d7225e9e35a0c11', 'size': '19010223331'}]",iPS-derived presomitic mesoderm,,,,,,,,,
SRR12507506,SRX8998540,Illumina HiSeq 2500 paired end sequencing; GSM4743490: 3_SM; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251321,3_SM,Homo sapiens,somitic mesoderm,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743490: 3_SM; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/006/SRR12507506/SRR12507506.fastq.gz', 'md5': '3fcb4bb72ded9710b402c717bcaffba4', 'size': '19437371422'}]",iPS-derived somitic mesoderm,,,,,,,,,
SRR12507507,SRX8998541,Illumina HiSeq 2500 paired end sequencing; GSM4743491: 4_SCL; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251322,4_SCL,Homo sapiens,sclerotome,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743491: 4_SCL; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/007/SRR12507507/SRR12507507.fastq.gz', 'md5': 'a1e6199d9ba0287b48b9183dc408a11b', 'size': '21980806931'}]",iPS-derived sclerotome,,,,,,,,,
SRR12507508,SRX8998542,Illumina HiSeq 2500 paired end sequencing; GSM4743492: 5_SYN_day2; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251323,5_SYN_day2,Homo sapiens,syndetome,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743492: 5_SYN_day2; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/008/SRR12507508/SRR12507508.fastq.gz', 'md5': '47e3574b69e9d8b567e8e0af2ac64260', 'size': '18487761933'}]",iPS-derived syndetome,,,,,,,,,
SRR12507509,SRX8998543,Illumina HiSeq 2500 paired end sequencing; GSM4743493: 6_SYN_day4; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251324,6_SYN_day4,Homo sapiens,syndetome,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743493: 6_SYN_day4; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/009/SRR12507509/SRR12507509.fastq.gz', 'md5': '3771b0f41fb484e33a24d5ee15ddb297', 'size': '16654876929'}]",iPS-derived syndetome,,,,,,,,,
SRR12507510,SRX8998544,Illumina HiSeq 2500 paired end sequencing; GSM4743494: 7_SYN_day6; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251325,7_SYN_day6,Homo sapiens,syndetome,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743494: 7_SYN_day6; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/010/SRR12507510/SRR12507510.fastq.gz', 'md5': '6beb786490fe1f5952009087826b3f47', 'size': '16484355134'}]",iPS-derived syndetome,,,,,,,,,
SRR12507511,SRX8998545,Illumina HiSeq 2500 paired end sequencing; GSM4743495: 8_SYN_day8; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251326,8_SYN_day8,Homo sapiens,syndetome,,2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743495: 8_SYN_day8; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/011/SRR12507511/SRR12507511.fastq.gz', 'md5': '16b0b6a055e62ad5fe883b33baf4d0f6', 'size': '16925590015'}]",iPS-derived syndetome,,,,,,,,,
SRR17818942,SRX13980715,NextSeq 500 paired end sequencing; GSM5848681: RD cell line with LARRY barcodes after washing out Differentiation medium at third time point; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818038,RD cell line with LARRY barcodes after washing out Differentiation medium at third time point,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848681: RD cell line with LARRY barcodes after washing out Differentiation medium at third time point; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/042/SRR17818942/SRR17818942.fastq.gz', 'md5': 'f63b70bddd78bbdb93d0eee58cf0e740', 'size': '1782388135'}]",RD cell line,Wild type,,,,,,,,
SRR17818943,SRX13980715,NextSeq 500 paired end sequencing; GSM5848681: RD cell line with LARRY barcodes after washing out Differentiation medium at third time point; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818038,RD cell line with LARRY barcodes after washing out Differentiation medium at third time point,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848681: RD cell line with LARRY barcodes after washing out Differentiation medium at third time point; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/043/SRR17818943/SRR17818943.fastq.gz', 'md5': '6e62f25b6e3e2fadcb10b7b6bd2ed18b', 'size': '1814703290'}]",RD cell line,Wild type,,,,,,,,
SRR17818944,SRX13980715,NextSeq 500 paired end sequencing; GSM5848681: RD cell line with LARRY barcodes after washing out Differentiation medium at third time point; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818038,RD cell line with LARRY barcodes after washing out Differentiation medium at third time point,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848681: RD cell line with LARRY barcodes after washing out Differentiation medium at third time point; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/044/SRR17818944/SRR17818944.fastq.gz', 'md5': '670f44c639e9b364b9da55a7f046c4c4', 'size': '1809812263'}]",RD cell line,Wild type,,,,,,,,
